Date,High,Low,Volume
2015-09-30,512.799988,501.670013,3990400
2015-09-29,511.480011,490.50,4443200
2015-09-28,520.280029,494.329987,5383200
2015-09-25,542.799988,521.400024,3910300
2015-09-24,534.559998,522.869995,3481800
2015-09-23,541.210022,534.00,2228100
2015-09-22,543.549988,532.659973,3824200
2015-09-21,549.780029,539.590027,3265300
2015-09-18,546.23999,531.349976,6125600
2015-09-17,546.969971,526.570007,4124900
2015-09-16,528.299988,518.52002,2248000
2015-09-15,527.919983,517.200012,2845600
2015-09-14,532.450012,518.580017,3127100
2015-09-11,529.440002,520.609985,3218600
2015-09-10,526.130005,514.780029,2562800
2015-09-09,529.950012,515.059998,4338700
2015-09-08,518.349976,508.51001,3777500
2015-09-04,502.850006,495.640015,2690200
2015-09-03,515.840027,502.570007,3098900
2015-09-02,510.859985,497.720001,3689600
2015-09-01,510.00,493.429993,3824000
2015-08-31,519.409973,509.070007,2983000
2015-08-28,521.50,513.039978,2733800
2015-08-27,522.690002,507.26001,6064900
2015-08-26,503.720001,478.76001,6323600
2015-08-25,489.440002,466.25,5679300
2015-08-24,476.579987,451.00,10063900
2015-08-21,512.330017,494.470001,6636400
2015-08-20,533.25,515.77002,4374900
2015-08-19,537.25,529.00,2313500
2015-08-18,539.48999,533.00,2066100
2015-08-17,538.73999,527.119995,2571200
2015-08-14,534.109985,528.25,1983200
2015-08-13,534.659973,525.48999,2887800
2015-08-12,527.50,513.059998,3962300
2015-08-11,528.97998,522.00,2657900
2015-08-10,532.280029,523.00,2598600
2015-08-07,529.460022,518.210022,3958300
2015-08-06,542.73999,527.52002,3795500
2015-08-05,539.140015,534.119995,2885000
2015-08-04,536.950012,529.159973,2916700
2015-08-03,540.440002,529.359985,2997500
2015-07-31,542.840027,534.52002,2976200
2015-07-30,539.200012,524.289978,3743100
2015-07-29,532.969971,525.02002,3752600
2015-07-28,536.390015,523.119995,5273100
2015-07-27,544.950012,526.599976,7491000
2015-07-24,580.570007,529.349976,21909400
2015-07-23,491.660004,475.700012,9374400
2015-07-22,492.50,484.899994,3114900
2015-07-21,488.880005,482.549988,3181800
2015-07-20,493.200012,485.399994,4752500
2015-07-17,485.420013,477.25,4932200
2015-07-16,475.880005,464.799988,4095600
2015-07-15,464.700012,460.200012,2987400
2015-07-14,469.600006,458.160004,4736200
2015-07-13,457.869995,447.540009,3956800
2015-07-10,444.720001,439.00,2401000
2015-07-09,438.720001,434.149994,2271400
2015-07-08,435.98999,428.829987,2383100
2015-07-07,437.730011,425.570007,3454200
2015-07-06,439.730011,433.519989,1903200
2015-07-02,438.200012,433.480011,1343400
2015-07-01,440.00,435.579987,1987100
2015-06-30,435.570007,430.459991,2596900
2015-06-29,437.00,429.00,2753200
2015-06-26,443.48999,435.059998,2624500
2015-06-25,443.470001,436.390015,2237500
2015-06-24,446.470001,440.230011,2620800
2015-06-23,447.040009,433.690002,3245000
2015-06-22,439.23999,434.179993,1823600
2015-06-19,444.98999,433.23999,4495100
2015-06-18,439.730011,429.410004,3378400
2015-06-17,431.350006,424.75,2185900
2015-06-16,427.970001,422.670013,2296400
2015-06-15,428.049988,422.640015,2051000
2015-06-12,432.359985,428.26001,2054400
2015-06-11,438.890015,431.470001,2922500
2015-06-10,432.200012,425.660004,2172300
2015-06-09,427.48999,419.140015,2288700
2015-06-08,426.799988,421.429993,2172500
2015-06-05,430.799988,426.50,1907900
2015-06-04,436.76001,429.26001,2510800
2015-06-03,438.390015,432.75,2727900
2015-06-02,433.230011,426.25,1668900
2015-06-01,433.160004,426.200012,2253300
2015-05-29,432.50,427.230011,3016100
2015-05-28,431.350006,425.470001,1912400
