Date,High,Low,Volume
2015-09-30,608.76001,600.72998,2413400
2015-09-29,605.00,590.219971,2309500
2015-09-28,614.60498,589.380005,3127700
2015-09-25,629.77002,611.00,2174000
2015-09-24,627.320007,612.400024,2240100
2015-09-23,628.929993,620.00,1470900
2015-09-22,627.549988,615.429993,2562900
2015-09-21,636.48999,625.940002,1788500
2015-09-18,640.00,627.02002,5133400
2015-09-17,650.900024,635.02002,2274700
2015-09-16,637.950012,632.320007,1286500
2015-09-15,638.700012,623.780029,2084400
2015-09-14,625.859985,619.429993,1702300
2015-09-11,625.780029,617.419983,1373500
2015-09-10,624.159973,611.429993,1905300
2015-09-09,626.52002,609.599976,1702100
2015-09-08,616.309998,604.119995,2279500
2015-09-04,603.469971,595.25,2089000
2015-09-03,619.710022,602.820984,1759600
2015-09-02,614.340027,599.710022,2575600
2015-09-01,612.859985,594.099976,3702100
2015-08-31,635.799988,617.679993,2176700
2015-08-28,636.880005,624.559998,1978700
2015-08-27,643.590027,622.00,3491300
2015-08-26,631.710022,599.049988,4235900
2015-08-25,617.450012,581.109985,3538000
2015-08-24,599.330017,565.049988,5770300
2015-08-21,640.049988,612.330017,4265200
2015-08-20,662.98999,642.900024,2855300
2015-08-19,667.00,654.190002,2134100
2015-08-18,664.00,653.460022,1456100
2015-08-17,661.380005,651.23999,1051700
2015-08-14,659.85498,652.659973,1072100
2015-08-13,664.50,651.661011,1810700
2015-08-12,665.00,652.289978,2936700
2015-08-11,674.900024,654.27002,5029200
2015-08-10,643.440002,631.249023,1809200
2015-08-07,642.679993,629.710022,1403900
2015-08-06,645.379028,632.25,1572600
2015-08-05,647.859985,633.159973,2334300
2015-08-04,634.809998,627.159973,1490900
2015-08-03,633.05603,625.340027,1304500
2015-07-31,632.909973,625.50,1706100
2015-07-30,635.219971,622.049988,1474200
2015-07-29,633.359985,622.650024,1575100
2015-07-28,632.830017,623.309998,1727300
2015-07-27,634.299988,620.50,2675400
2015-07-24,648.169983,622.52002,3625700
2015-07-23,663.630005,641.00,3029100
2015-07-22,678.640015,659.00,3929300
2015-07-21,673.00,654.299988,3377200
2015-07-20,668.880005,653.01001,5860900
2015-07-17,674.468018,645.00,11164900
2015-07-16,580.679993,565.00,4768300
2015-07-15,566.502991,556.789978,1784600
2015-07-14,565.848999,546.710022,3244100
2015-07-13,547.109985,532.400024,2206500
2015-07-10,532.559998,525.549988,1956700
2015-07-09,523.77002,520.349976,1842300
2015-07-08,522.734009,516.109985,1296700
2015-07-07,526.179993,515.179993,1597200
2015-07-06,525.25,519.00,1280500
2015-07-02,524.650024,521.080017,1235900
2015-07-01,525.690002,518.22998,1961000
2015-06-30,526.25,520.50,2235600
2015-06-29,528.609985,520.539978,1937800
2015-06-26,537.76001,531.349976,2109100
2015-06-25,540.900024,535.22998,1335700
2015-06-24,540.00,535.659973,1286600
2015-06-23,541.499023,535.25,1197500
2015-06-22,543.73999,537.530029,1250300
2015-06-19,538.25,533.01001,1893500
2015-06-18,538.150024,530.789978,1833100
2015-06-17,530.97998,525.099976,1294200
2015-06-16,529.640015,525.559998,1071800
2015-06-15,528.299988,524.00,1632700
2015-06-12,533.119995,530.159973,955800
2015-06-11,538.97998,533.02002,1217500
2015-06-10,538.359985,529.349976,1815000
2015-06-09,529.200012,523.01001,1455300
2015-06-08,534.119995,526.23999,1520600
2015-06-05,537.200012,532.52002,1388200
2015-06-04,540.590027,534.320007,1348300
2015-06-03,543.50,537.109985,1717000
2015-06-02,543.00,531.330017,1939000
2015-06-01,536.789978,529.76001,1904300
2015-05-29,538.630005,531.450012,2597400
2015-05-28,540.609985,536.25,1029800
2015-05-27,540.549988,531.710022,1525000
2015-05-26,539.00,529.880005,2406500
2015-05-22,544.190002,539.51001,1176200
2015-05-21,543.840027,535.97998,1462700
2015-05-20,542.919983,532.971985,1430800
2015-05-19,540.659973,533.039978,1966900
2015-05-18,534.820007,528.849976,2003400
