Date,High,Low,Volume
2015-09-30,29.110001,28.49,17861800
2015-09-29,29.23,27.85,41761600
2015-09-28,29.219999,27.200001,49088700
2015-09-25,29.709999,28.91,11525300
2015-09-24,29.57,28.85,18723200
2015-09-23,30.57,29.629999,12674700
2015-09-22,30.92,30.17,15257000
2015-09-21,31.74,30.879999,18413400
2015-09-18,30.799999,30.41,20144700
2015-09-17,31.33,30.809999,16546900
2015-09-16,31.77,30.99,22171700
2015-09-15,31.23,29.41,25637600
2015-09-14,30.92,30.00,21951500
2015-09-11,31.43,30.629999,14312100
2015-09-10,31.59,31.030001,14287600
2015-09-09,31.799999,30.35,46957000
2015-09-08,32.830002,30.860001,25238500
2015-09-04,32.290001,31.440001,13829900
2015-09-03,32.740002,31.799999,13710700
2015-09-02,32.029999,31.379999,15551500
2015-09-01,32.099998,31.23,19828300
2015-08-31,32.990002,32.23,13575100
2015-08-28,33.57,32.93,9359500
2015-08-27,33.77,32.950001,18949200
2015-08-26,32.619999,31.110001,25375600
2015-08-25,33.029999,31.540001,15626100
2015-08-24,32.279999,29.00,22876900
2015-08-21,34.02,32.91,18271700
2015-08-20,34.950001,33.869999,15525800
2015-08-19,35.669998,35.029999,8974100
2015-08-18,36.189999,35.599998,11422700
2015-08-17,36.240002,35.77,7923100
2015-08-14,36.349998,35.720001,12238300
2015-08-13,36.610001,34.82,28981100
2015-08-12,34.77,33.849998,31405700
2015-08-11,36.77,35.73,13677300
2015-08-10,37.689999,36.869999,11266600
2015-08-07,36.759998,36.150002,11825800
2015-08-06,37.52,36.299999,12045400
2015-08-05,37.709999,37.23,6837900
2015-08-04,37.209999,36.599998,8999000
2015-08-03,36.98,36.369999,9853500
2015-07-31,37.57,36.619999,15478000
2015-07-30,37.689999,37.299999,9542700
2015-07-29,37.919998,37.380001,10290600
2015-07-28,37.919998,37.27,10333100
2015-07-27,38.310001,37.650002,12942700
2015-07-24,39.580002,38.669998,8590700
2015-07-23,39.779999,39.060001,9267400
2015-07-22,39.630001,38.259998,17714800
2015-07-21,39.849998,39.349998,14861600
2015-07-20,39.98,39.259998,14752100
2015-07-17,39.790001,38.93,14864300
2015-07-16,38.959999,38.599998,8462400
2015-07-15,38.799999,38.150002,9147300
2015-07-14,39.029999,38.439999,9506500
2015-07-13,38.799999,38.099998,8713200
2015-07-10,38.419998,37.779999,10057600
2015-07-09,38.68,37.52,16909400
2015-07-08,37.490002,36.939999,20529200
2015-07-07,38.380001,36.580002,19432500
2015-07-06,39.119999,38.459999,11803400
2015-07-02,39.639999,39.189999,7713000
2015-07-01,39.779999,39.150002,6398400
2015-06-30,39.650002,39.189999,11258300
2015-06-29,39.779999,38.849998,12481300
2015-06-26,40.869999,39.93,16430900
2015-06-25,41.389999,40.900002,10776200
2015-06-24,41.23,40.580002,11462200
2015-06-23,40.799999,40.509998,6860600
2015-06-22,40.889999,40.540001,6141500
2015-06-19,40.93,40.369999,11661500
2015-06-18,41.27,40.790001,10017600
2015-06-17,41.52,40.779999,11943100
2015-06-16,41.400002,40.02,20454500
2015-06-15,40.669998,40.209999,10876300
2015-06-12,41.110001,40.459999,9232700
2015-06-11,42.209999,40.549999,23695000
2015-06-10,42.310001,41.689999,7943800
2015-06-09,41.950001,41.02,11995200
2015-06-08,42.889999,42.00,7625500
2015-06-05,43.259998,42.700001,9831100
2015-06-04,43.439999,42.759998,10033400
2015-06-03,43.779999,42.98,11893400
2015-06-02,43.619999,42.919998,8866500
2015-06-01,43.630001,42.91,11152900
2015-05-29,43.59,42.810001,10928000
2015-05-28,43.419998,42.93,9414000
2015-05-27,43.439999,42.279999,13686500
2015-05-26,43.50,42.580002,12796000
2015-05-22,44.00,43.470001,10279400
2015-05-21,43.869999,43.049999,30404300
2015-05-20,43.040001,42.16,54530800
2015-05-19,44.66,39.119999,45363900
2015-05-18,44.57,44.040001,9230000
2015-05-15,45.07,44.689999,7768600
2015-05-14,44.990002,44.450001,10301800
2015-05-13,44.669998,43.98,10987200
2015-05-12,44.310001,43.689999,14264800
2015-05-11,44.139999,43.59,11509600
2015-05-08,44.549999,44.00,15750200
2015-05-07,44.98,43.549999,28213800
2015-05-06,41.73,41.209999,13976300
2015-05-05,42.00,40.810001,19377100
2015-05-04,42.549999,41.830002,14483800
2015-05-01,42.68,42.09,10467600
2015-04-30,43.310001,42.259998,14257900
2015-04-29,44.049999,43.09,12712600
2015-04-28,44.57,43.939999,7197100
2015-04-27,45.099998,44.25,10855400
2015-04-24,44.709999,43.689999,11281100
2015-04-23,44.060001,43.580002,14298900
2015-04-22,44.849998,43.669998,32284300
2015-04-21,45.18,44.450001,18617900
2015-04-20,44.91,44.41,10228700
2015-04-17,45.439999,44.25,13591600
2015-04-16,46.130001,45.529999,13833100
2015-04-15,45.830002,45.23,15039600
2015-04-14,45.639999,44.790001,12365800
2015-04-13,45.59,44.720001,8837300
2015-04-10,45.790001,45.00,8436400
2015-04-09,46.169998,45.16,13678000
2015-04-08,45.189999,43.799999,16071000
2015-04-07,44.220001,43.560001,11382000
2015-04-06,44.029999,43.610001,10717000
2015-04-02,44.360001,43.68,12229400
2015-04-01,44.599998,43.950001,14722300
2015-03-31,45.200001,44.419998,10415500
2015-03-30,45.419998,44.82,8884300
2015-03-27,45.669998,45.009998,20563500
2015-03-26,44.669998,43.68,16162900
2015-03-25,44.93,44.130001,14036900
2015-03-24,44.779999,44.279999,7559100
2015-03-23,45.540001,44.709999,8268800
2015-03-20,45.580002,44.91,14194200
2015-03-19,45.450001,44.810001,14758000
2015-03-18,44.709999,43.43,18919900
2015-03-17,44.16,43.459999,9656200
2015-03-16,43.880001,42.75,11376400
2015-03-13,42.98,42.439999,9087000
2015-03-12,43.360001,42.580002,8384800
2015-03-11,42.990002,42.360001,10007300
2015-03-10,42.919998,42.18,10600700
2015-03-09,43.93,42.669998,11801900
2015-03-06,44.240002,43.400002,11888000
2015-03-05,44.310001,43.50,11867700
2015-03-04,44.380001,41.970001,30098500
2015-03-03,43.950001,42.419998,22392400
2015-03-02,44.43,43.700001,11027300
2015-02-27,44.57,44.049999,10044200
2015-02-26,44.759998,44.259998,9223800
2015-02-25,44.720001,43.209999,17922900
2015-02-24,43.52,42.91,9797500
2015-02-23,43.990002,43.419998,12129100
2015-02-20,44.360001,43.759998,12036200
2015-02-19,44.419998,43.50,13301000
2015-02-18,43.82,43.299999,10410700
2015-02-17,44.540001,43.349998,12798400
2015-02-13,44.59,44.00,13785800
2015-02-12,44.16,42.860001,18158200
2015-02-11,43.259998,42.759998,9791100
2015-02-10,43.18,42.66,12160800
2015-02-09,43.150002,42.540001,15507600
2015-02-06,43.66,42.669998,16005100
2015-02-05,44.259998,43.029999,18414500
2015-02-04,44.98,43.880001,16281400
2015-02-03,45.25,44.380001,16985900
2015-02-02,44.759998,43.880001,20305700
2015-01-30,44.849998,43.509998,36033600
2015-01-29,43.799999,41.799999,74370100
2015-01-28,50.32,46.299999,84839700
2015-01-27,49.279999,47.66,45777200
2015-01-26,49.790001,49.07,18976400
2015-01-23,49.23,48.630001,14294300
2015-01-22,49.080002,48.009998,12647400
2015-01-21,48.380001,47.32,16305100
2015-01-20,47.889999,46.77,15845900
2015-01-16,46.59,45.849998,14681800
2015-01-15,47.75,46.200001,17126000
2015-01-14,48.09,47.07,15911600
2015-01-13,49.48,47.400002,21605200
2015-01-12,49.93,48.560001,10170700
2015-01-09,50.41,49.619999,7462800
2015-01-08,50.23,48.720001,14704800
2015-01-07,49.639999,48.509998,11788000
2015-01-06,49.880001,48.330002,16204300
2015-01-05,49.880001,48.91,14389300
2015-01-02,50.779999,49.470001,11924500
2014-12-31,51.68,50.459999,9305000
2014-12-30,51.27,50.349998,10703500
2014-12-29,51.009998,50.509998,6624500
2014-12-26,51.060001,50.610001,5169700
2014-12-24,50.919998,50.189999,5961900
2014-12-23,51.459999,49.93,15514000
2014-12-22,51.599998,50.950001,24021100
2014-12-19,51.470001,50.830002,24110200
2014-12-18,51.150002,50.439999,15338900
2014-12-17,50.25,48.900002,17112300
2014-12-16,50.080002,48.810001,21399300
2014-12-15,50.919998,49.50,18132500
2014-12-12,51.169998,49.48,20370500
2014-12-11,50.580002,49.43,21100200
2014-12-10,50.689999,49.189999,16184100
2014-12-09,50.529999,48.290001,19655600
2014-12-08,50.900002,49.220001,18190100
2014-12-05,51.25,50.509998,15418100
2014-12-04,50.669998,49.900002,12136700
2014-12-03,50.970001,50.200001,14236000
2014-12-02,51.119999,50.009998,16099900
2014-12-01,51.43,49.66,23146900
2014-11-28,52.00,51.639999,8913700
