High,Low,Volume
117.9375,110.125,35473000
124.00,120.75,11091400
124.50,120.515602,15051800
126.75,120.00,27184600
131.50,120.625,39080600
139.6875,132.875,13895600
140.00,132.125,19643800
134.375,124.9375,14610600
130.00,126.3125,18488000
130.5625,123.25,15705600
131.375,125.00,14911600
134.125,130.875,11038200
138.00,133.50,11161800
135.25,131.125,6694400
133.75,128.1875,8142800
129.75,125.375,7436000
133.8125,128.3125,6857000
137.50,132.50,8145800
138.00,133.0625,8953400
137.75,130.75,9502600
136.875,131.25,10833600
131.5625,123.50,12216200
133.0625,126.25,9287400
130.00,126.00,8777800
129.75,122.75,11073200
136.75,126.0625,14022600
136.625,131.3125,11889800
139.25,133.6875,11078600
139.375,130.375,12744800
138.75,132.25,12922000
140.75,137.5625,10598400
142.6875,133.6875,19580200
138.00,130.00,20859200
133.375,127.125,15129400
133.50,125.0625,15484200
128.25,122.50,18338800
127.125,121.515602,20465600
127.375,116.875,74122200
106.5625,99.875,61754000
114.00,109.718697,23104200
118.50,115.00,25520400
124.1875,118.50,11706400
127.875,120.25,8643000
128.25,122.125,4773200
124.50,118.8125,9068000
126.00,118.75,12176400
127.625,123.125,13065200
128.875,118.75,20571400
124.875,117.125,23421800
130.00,122.25,18099800
142.125,131.625,16783000
145.5625,140.50,15826200
150.00,140.3125,20704400
140.625,135.9375,14533600
141.25,135.50,13738800
141.75,134.8125,10597600
141.50,137.125,8810400
139.5625,131.25,14961200
145.50,136.75,11717000
146.765594,142.25,8727400
147.75,140.50,17499800
146.00,135.50,20657200
142.1875,135.00,13933800
141.9375,130.50,17966800
134.875,127.3125,22187400
122.00,115.625,16573800
117.3125,112.8125,28353800
120.00,114.50,17734000
116.125,111.00,12662200
123.625,113.00,18788800
124.00,112.00,22729200
127.375,118.00,17904400
128.00,113.25,31994400
134.6875,120.00,28261600
137.5625,130.00,15213200
139.75,131.875,20842400
138.25,130.00,20359400
130.00,120.640602,11592000
131.4375,125.0625,14853400
126.00,119.50,14962800
122.50,112.50,18772600
122.25,115.00,13656200
125.50,120.50,7958800
128.00,122.00,8375000
127.00,121.0625,13000000
124.75,116.0625,14383000
131.50,121.625,13658200
136.00,126.9375,14252400
131.875,125.50,14908800
126.75,113.00,19964200
126.875,118.25,16669600
127.00,118.75,25156400
119.125,107.00,21974800
129.125,119.50,13100600
134.50,122.00,18326000
127.50,115.50,24866000
122.9375,108.00,44468600
135.25,111.00,38466800
148.125,134.3125,28022800
142.9375,130.50,29695800
142.50,132.50,28853600
153.00,141.00,24860000
160.00,150.75,24960400
171.25,150.6875,55990400
169.875,158.50,27371800
171.00,132.75,42528400
173.00,159.375,19322800
177.25,160.50,21684000
187.0625,160.25,31733800
196.50,174.00,21540000
200.75,192.00,12830200
205.1875,195.00,17279800
201.00,188.00,14707800
203.00,190.50,14708600
205.625,188.50,31384600
193.25,168.5625,25232800
175.375,165.25,10404600
176.9375,169.00,11223000
173.00,156.0625,17049200
169.00,155.125,17643400
183.531204,167.9375,15768600
180.50,168.00,12033000
183.00,175.625,10406600
185.00,172.00,17405000
181.00,165.00,17234400
180.375,168.00,17345600
177.00,162.734299,25566400
163.00,151.00,14972000
159.00,152.00,12227400
163.00,155.00,11652200
169.875,155.50,13684600
164.75,152.125,18420200
170.3125,160.3125,11418000
171.625,159.25,16506000
170.00,153.00,21189800
157.00,148.9375,17691600
163.1875,155.375,14643800
168.00,161.0625,12434600
170.00,160.00,12820400
173.25,156.00,21323200
173.75,163.75,15165600
365.00,341.75,19158400
366.00,353.937531,17980400
377.25,360.125,23918800
379.812469,358.50,29828800
363.00,347.00,20864400
372.50,347.00,33816000
361.00,334.00,39057600
337.00,317.00,26813200
329.75,310.812469,24690800
322.062469,303.00,35825200
343.00,309.625,36656000
339.562469,325.125,19222000
343.484314,327.75,19404000
347.00,316.25,34588000
360.50,324.00,25329200
360.00,348.00,17615200
371.937531,349.00,31349600
367.375,336.00,31800000
350.00,335.00,30706000
363.00,342.00,49232800
377.375,338.00,67762800
394.00,355.00,74100000
426.25,392.00,75761600
451.25,420.00,61022400
408.00,363.00,48999600
413.00,361.00,71301200
431.125,402.00,83194800
500.125,442.00,69868800
477.00,429.50,38469600
441.50,410.062469,10116400
448.00,406.75,24972400
410.00,394.00,11763200
420.00,390.00,20896400
428.062469,377.875,38158000
426.25,400.00,18468400
421.187531,394.75,34557200
408.312469,364.812469,40430400
369.875,346.00,27528400
352.125,337.00,20652000
341.875,332.375,19881200
334.75,315.50,33132400
350.50,333.00,28800000
356.25,344.50,22786400
357.50,334.25,38182800
341.25,312.062469,45672000
329.312469,311.00,99627600
353.00,286.125,265342000
282.00,250.687515,64394800
258.75,248.937515,40032400
249.75,227.75,39232400
234.00,224.937515,52774000
223.625,210.50,24242400
234.50,224.875,18530400
235.25,225.375,8035600
233.00,225.25,22665200
229.25,218.00,25955600
230.187515,218.00,22806400
219.187515,210.00,17340400
215.50,203.00,16049600
212.00,204.875,16416800
212.937515,203.687515,23657200
207.50,195.375,23674800
198.875,190.25,17907200
203.00,192.25,15894400
202.375,193.25,26834000
199.50,192.25,29762000
199.625,181.875,39462400
186.50,183.00,19503200
185.50,181.312485,22840400
182.375,178.625,18202400
181.50,176.875,16212000
183.00,178.00,22136000
180.00,177.00,29416400
179.50,172.75,29123600
177.625,172.00,14534800
180.125,174.00,12201600
180.25,176.25,15003200
183.812485,177.25,20509200
182.875,176.25,38491600
180.50,173.375,29566000
176.75,173.625,35864000
172.75,164.50,33723200
172.75,165.312485,44574800
173.937515,167.375,42182000
177.00,167.25,45434800
181.937515,172.00,45610000
188.00,180.00,70550400
192.375,185.062485,37374800
193.062485,182.00,99988000
176.937515,171.562485,35948400
177.812485,167.75,52034800
178.50,166.625,34314400
180.00,172.625,24662400
181.437515,174.75,23179600
187.00,178.687515,26710400
185.875,175.25,32783600
187.375,178.312485,38259200
185.00,173.312485,56219600
186.437515,171.25,66187200
180.00,168.625,47312800
175.00,164.312485,43461600
168.75,164.00,20120000
166.625,161.062485,19720000
163.875,157.312485,25113200
169.75,162.25,26740800
167.937515,159.687515,25134000
167.75,160.50,28529600
172.062485,165.00,41157200
163.375,157.812485,41091200
155.50,151.812485,17771200
157.00,152.062485,24489600
155.062485,146.875,33040800
144.515594,139.375,21898800
149.375,142.312485,17971600
148.25,139.25,42270800
149.75,142.562485,17183600
